round,candidate_id,module,substrate_name,product_name,verification_status_round21,rule_variant,rule_count,generated_product_count,generated_truth_products,target_generated,target_ec_classes,target_rule_hashes,target_source_datasets,decoy_count,decoy_preview_pb,final_clean_eligible_in_dryrun,route_decision_round22,training_allowed_round22
22,R21-P0-012,A,corticosterone,11beta-hydroxyprogesterone,blocked_pending_external_verification,sampled_all_800,800,3,,False,,,,3,DCMCEXCRUWBAFV;GACHUKQIQXVSNB;XLYOFNOQVPJJNP,False,evidence_blocked_before_route_repair,False
22,R21-P0-012,A,corticosterone,11beta-hydroxyprogesterone,blocked_pending_external_verification,sampled_require_ec_800,401,0,,False,,,,0,,False,evidence_blocked_before_route_repair,False
22,R21-P0-012,A,corticosterone,11beta-hydroxyprogesterone,blocked_pending_external_verification,all_pool_all_rules,4408,25,,False,,,,25,AYFVYJQAPQTCCC;CEOSTUWANCCJAI;CQSNEIJHCNGJFK;DCMCEXCRUWBAFV;DFLMNHVGQUJXMV;DGWVMPXQZBUAOI;DKDACGRLOGBANH;DXNXLVLLNXVDDE;FKIMBWKRCMUBGB;GACHUKQIQXVSNB;GPRLSGONYQIRFK;IVENSCMCQBJAKW,False,evidence_blocked_before_route_repair,False
22,R21-P0-012,A,corticosterone,11beta-hydroxyprogesterone,blocked_pending_external_verification,all_pool_require_ec,2443,6,,False,,,,6,CEOSTUWANCCJAI;GACHUKQIQXVSNB;GPRLSGONYQIRFK;RHEJDLZHKWMYNR;RRHZCMRHQCWLHV;YUYMJFOMVAPAOJ,False,evidence_blocked_before_route_repair,False
22,R21-P0-013,A,hydrocaffeic acid,3-(3-hydroxyphenyl)propionic acid,literature_verified_rhea_partial_or_absent,sampled_all_800,800,14,,False,,,,14,GACHUKQIQXVSNB;GPRLSGONYQIRFK;GRPAIKHEWZVRJG;IBHQMOBHDFJBIY;ICDKEGIUNBERCN;JBVZMRMPRKZCEF;MJRGXAOTNGANHT;OEPMLSWEOOUPHZ;QPYRNEIVICYZQG;STOAUPQHCFCVAW;TYISBAMDCQXGTK;WEPNMLSXEATIJK,False,target_not_generated_by_this_variant,False
22,R21-P0-013,A,hydrocaffeic acid,3-(3-hydroxyphenyl)propionic acid,literature_verified_rhea_partial_or_absent,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-013,A,hydrocaffeic acid,3-(3-hydroxyphenyl)propionic acid,literature_verified_rhea_partial_or_absent,all_pool_all_rules,4408,40,,False,,,,40,ADXJSSMBDQVMRA;AYFVYJQAPQTCCC;BUCQPWUTNDGEDF;CDHQONZUVBTFSW;CUSOWRGIQJDICZ;DBQVBSXCICUQIM;DGWVMPXQZBUAOI;DWHUHVCZAMLFOY;GACHUKQIQXVSNB;GMZVHHZORQMKBF;GPRLSGONYQIRFK;GRPAIKHEWZVRJG,False,target_not_generated_by_this_variant,False
22,R21-P0-013,A,hydrocaffeic acid,3-(3-hydroxyphenyl)propionic acid,literature_verified_rhea_partial_or_absent,all_pool_require_ec,2443,7,,False,,,,7,CUSOWRGIQJDICZ;DWHUHVCZAMLFOY;GACHUKQIQXVSNB;GPRLSGONYQIRFK;OEPMLSWEOOUPHZ;RHEJDLZHKWMYNR;YUYMJFOMVAPAOJ,False,target_not_generated_by_this_variant,False
22,R21-P0-014,A,urolithin D,urolithin C,literature_verified_rhea_absent_not_training_yet,sampled_all_800,800,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-014,A,urolithin D,urolithin C,literature_verified_rhea_absent_not_training_yet,sampled_require_ec_800,401,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-014,A,urolithin D,urolithin C,literature_verified_rhea_absent_not_training_yet,all_pool_all_rules,4408,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
22,R21-P0-014,A,urolithin D,urolithin C,literature_verified_rhea_absent_not_training_yet,all_pool_require_ec,2443,0,,False,,,,0,,False,target_not_generated_by_this_variant,False
