round,chebi_id,name,ascii_name,stars,formula,charge,smiles,inchikey,inchikey_block1,structure_status,raw_file
18,CHEBI:58349,NADP(3−),NADP(3-),3,C21H25N7O17P3,-3,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,XJLXINKUBYWONI-NNYOXOHSSA-K,XJLXINKUBYWONI,mapped,data\curation\chebi_round18_raw\CHEBI_58349.json
18,CHEBI:58389,trimethylammonium,trimethylammonium,3,C3H10N,1,C[NH+](C)C,GETQZCLCWQTVFV-UHFFFAOYSA-O,GETQZCLCWQTVFV,mapped,data\curation\chebi_round18_raw\CHEBI_58389.json
18,CHEBI:58720,D-glucopyranuronate,D-glucopyranuronate,3,C6H9O7,-1,O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,AEMOLEFTQBMNLQ-AQKNRBDQSA-M,AEMOLEFTQBMNLQ,mapped,data\curation\chebi_round18_raw\CHEBI_58720.json
18,CHEBI:58866,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate(2−)","(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate(2-)",3,C11H12NO6P,-2,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)c1cnc2ccccc12,NQEQTYPJSIEPHW-MNOVXSKESA-L,NQEQTYPJSIEPHW,mapped,data\curation\chebi_round18_raw\CHEBI_58866.json
18,CHEBI:59776,D-glyceraldehyde 3-phosphate(2−),D-glyceraldehyde 3-phosphate(2-),3,C3H5O6P,-2,[H]C(=O)[C@H](O)COP(=O)([O-])[O-],LXJXRIRHZLFYRP-VKHMYHEASA-L,LXJXRIRHZLFYRP,mapped,data\curation\chebi_round18_raw\CHEBI_59776.json
18,CHEBI:61283,baicalin(1−),baicalin(1-),3,C21H17O11,-1,O=C([O-])[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,IKIIZLYTISPENI-ZFORQUDYSA-M,IKIIZLYTISPENI,mapped,data\curation\chebi_round18_raw\CHEBI_61283.json
18,CHEBI:62932,mycophenolate,mycophenolate,3,C17H19O6,-1,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2,HPNSFSBZBAHARI-RUDMXATFSA-M,HPNSFSBZBAHARI,mapped,data\curation\chebi_round18_raw\CHEBI_62932.json
18,CHEBI:66982,mycophenolic acid O-acyl-glucuronide(1−),mycophenolic acid O-acyl-glucuronide(1-),3,C23H27O12,-1,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O)C(=O)OC2,QBMSTEZXAMABFF-UEARNRKISA-M,QBMSTEZXAMABFF,mapped,data\curation\chebi_round18_raw\CHEBI_66982.json
18,CHEBI:78017,food propellant,food propellant,3,,,,,,missing_structure,data\curation\chebi_round18_raw\CHEBI_78017.json
18,CHEBI:78324,baicalein(1−),baicalein(1-),3,C15H9O5,-1,O=c1cc(-c2ccccc2)oc2cc([O-])c(O)c(O)c12,FXNFHKRTJBSTCS-UHFFFAOYSA-M,FXNFHKRTJBSTCS,mapped,data\curation\chebi_round18_raw\CHEBI_78324.json
18,CHEBI:83411,β-D-glucosiduronate,beta-D-glucosiduronate,3,C6H8O7R,-1,*O[C@@H]1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O,,,missing_structure,data\curation\chebi_round18_raw\CHEBI_83411.json
18,CHEBI:58899,,,,,,,,,lookup_failed_or_missing_raw,
